payment_id,expected_category,expected_status,expected_settlement_ids
pay_1000,exact_match,matched,setl_9000
pay_1001,exact_match,matched,setl_9001
pay_1002,exact_match,matched,setl_9002
pay_1003,exact_match,matched,setl_9003
pay_1004,exact_match,matched,setl_9004
pay_1005,exact_match,matched,setl_9005
pay_1006,exact_match,matched,setl_9006
pay_1007,exact_match,matched,setl_9007
pay_1008,exact_match,matched,setl_9008
pay_1009,exact_match,matched,setl_9009
pay_1010,exact_match,matched,setl_9010
pay_1011,exact_match,matched,setl_9011
pay_1012,exact_match,matched,setl_9012
pay_1013,exact_match,matched,setl_9013
pay_1014,exact_match,matched,setl_9014
pay_1015,exact_match,matched,setl_9015
pay_1016,exact_match,matched,setl_9016
pay_1017,exact_match,matched,setl_9017
pay_1018,exact_match,matched,setl_9018
pay_1019,exact_match,matched,setl_9019
pay_1020,exact_match,matched,setl_9020
pay_1021,exact_match,matched,setl_9021
pay_1022,exact_match,matched,setl_9022
pay_1023,exact_match,matched,setl_9023
pay_1024,exact_match,matched,setl_9024
pay_1025,exact_match,matched,setl_9025
pay_1026,exact_match,matched,setl_9026
pay_1027,exact_match,matched,setl_9027
pay_1028,exact_match,matched,setl_9028
pay_1029,exact_match,matched,setl_9029
pay_1030,exact_match,matched,setl_9030
pay_1031,exact_match,matched,setl_9031
pay_1032,exact_match,matched,setl_9032
pay_1033,exact_match,matched,setl_9033
pay_1034,exact_match,matched,setl_9034
pay_1035,fee_difference,matched,setl_9035
pay_1036,fee_difference,matched,setl_9036
pay_1037,fee_difference,matched,setl_9037
pay_1038,fee_difference,matched,setl_9038
pay_1039,fee_difference,matched,setl_9039
pay_1040,fee_difference,matched,setl_9040
pay_1041,fee_difference,matched,setl_9041
pay_1042,fee_difference,matched,setl_9042
pay_1043,fee_difference,matched,setl_9043
pay_1044,fee_difference,matched,setl_9044
pay_1045,fee_difference,matched,setl_9045
pay_1046,fee_difference,matched,setl_9046
pay_1047,fee_difference,matched,setl_9047
pay_1048,fee_difference,matched,setl_9048
pay_1049,fee_difference,matched,setl_9049
pay_1050,refund_adjusted,matched,setl_9050
pay_1051,refund_adjusted,matched,setl_9051
pay_1052,refund_adjusted,matched,setl_9052
pay_1053,refund_adjusted,matched,setl_9053
pay_1054,refund_adjusted,matched,setl_9054
pay_1055,refund_adjusted,matched,setl_9055
pay_1056,refund_adjusted,matched,setl_9056
pay_1057,refund_adjusted,matched,setl_9057
pay_1058,refund_adjusted,matched,setl_9058
pay_1059,refund_adjusted,matched,setl_9059
pay_1060,partial_settlement,matched,setl_9060|setl_9061
pay_1061,partial_settlement,matched,setl_9062|setl_9063
pay_1062,partial_settlement,matched,setl_9064|setl_9065
pay_1063,partial_settlement,matched,setl_9066|setl_9067
pay_1064,partial_settlement,matched,setl_9068|setl_9069
pay_1065,partial_settlement,matched,setl_9070|setl_9071
pay_1066,partial_settlement,matched,setl_9072|setl_9073
pay_1067,partial_settlement,matched,setl_9074|setl_9075
pay_1068,partial_settlement,matched,setl_9076|setl_9077
pay_1069,partial_settlement,matched,setl_9078|setl_9079
pay_1070,delayed_settlement,unresolved,
pay_1071,delayed_settlement,unresolved,
pay_1072,delayed_settlement,unresolved,
pay_1073,delayed_settlement,unresolved,
pay_1074,delayed_settlement,unresolved,
pay_1075,delayed_settlement,unresolved,
pay_1076,delayed_settlement,unresolved,
pay_1077,delayed_settlement,unresolved,
pay_1078,delayed_settlement,unresolved,
pay_1079,delayed_settlement,unresolved,
pay_1080,missing_settlement,unresolved,
pay_1081,missing_settlement,unresolved,
pay_1082,missing_settlement,unresolved,
pay_1083,missing_settlement,unresolved,
pay_1084,missing_settlement,unresolved,
pay_1085,missing_settlement,unresolved,
pay_1086,missing_settlement,unresolved,
pay_1087,missing_settlement,unresolved,
pay_1088,duplicate_ledger,matched,setl_9090
pay_1089,duplicate_ledger,matched,setl_9091
pay_1090,duplicate_ledger,matched,setl_9092
pay_1091,duplicate_ledger,matched,setl_9093
pay_1092,duplicate_ledger,matched,setl_9094
pay_1093,amount_mismatch,review,setl_9095
pay_1094,amount_mismatch,review,setl_9096
pay_1095,amount_mismatch,review,setl_9097
pay_1096,amount_mismatch,review,setl_9098
pay_1097,failed_settlement,review,setl_9099
pay_1098,failed_settlement,review,setl_9100
pay_1099,failed_settlement,review,setl_9101
